,before,after
74203,THE,the
74204,ACFT,acft
74205,.,.
74206,I,I
74207,WAS,wa
74208,PRESSURED,pressur
74209,TO,TO
74210,CONTINUE,continu
74211,WHEN,when
74212,I,I
74213,FELT,felt
74214,UNCOMFORTABLE,uncomfort
74215,AND,and
74216,I,I
74217,SHOULD,should
74218,HAVE,have
74219,BEEN,been
74220,MORE,more
74221,FORCEFUL,forc
74222,ABOUT,about
74223,TURNING,turn
74224,BACK,back
74225,EARLIER,earlier
74226,.,.
74227,I,I
74228,SHOULD,should
74229,HAVE,have
74230,CLBED,clbed
74231,ABOVE,abov
74232,500,500
74233,FT,FT
74234,AND,and
74235,TURNED,turn
74236,L,L
74237,TOWARD,toward
74238,BETTER,better
74239,VISIBILITY,visibl
74240,AND,and
74241,GREATER,greater
74242,DEFINITION,definit
74243,BTWN,btwn
74244,LAND,land
74245,AND,and
74246,SKY,ski
74247,.,.
74248,NEEDED,need
74249,BETTER,better
74250,RADIO,radio
74251,COM,com
74252,AND,and
74253,COORD,coord
74254,.,.
74255,HE,HE
74256,NEVER,never
74257,HEARD,heard
74258,THE,the
74259,2,2
74260,IMPORTANT,import
74261,CALLS,call
74262,.,.
74263,WAS,wa
74264,PROBABLY,probabl
74265,TALKING,talk
74266,AT,AT
74267,THE,the
74268,SAME,same
74269,TIME,time
74270,.,.
74271,CORP,corp
74272,KING,king
74273,AIR,air
74274,CLB,clb
74275,THROUGH,through
74276,OCCUPIED,occupi
74277,ALT,alt
74278,AFTER,after
74279,TFC,tfc
74280,ADVISORY,advisori
74281,GIVEN,given
74282,.,.
74283,WE,WE
74284,WERE,were
74285,RECEIVING,receiv
74286,VFR,vfr
74287,ADVISORIES,advisori
74288,.,.
74289,CTR,ctr
74290,POINTED,point
74291,OUT,out
74292,A,A
74293,B747,b747
74294,AT,AT
74295,10,10
74296,O'CLOCK,o'clock
74297,AND,and
74298,WE,WE
74299,BEGAN,began
74300,TO,TO
74301,SCAN,scan
74302,IN,IN
74303,THAT,that
74304,DIRECTION,direct
74305,.,.
74306,HE,HE
74307,WAS,wa
74308,IFR,ifr
74309,AT,AT
74310,16000,16000
74311,FT,FT
74312,AND,and
74313,OUR,our
74314,FLT,flt
74315,PATHS,path
74316,WOULD,would
74317,HAVE,have
74318,TAKEN,taken
74319,US,US
74320,DIRECTLY,directli
74321,THROUGH,through
74322,HIS,hi
74323,WAKE,wake
74324,.,.
74325,WHILE,while
74326,WE,WE
74327,HAD,had
74328,HIM,him
74329,VISUALLY,visual
74330,;,;
74331,WE,WE
74332,ELECTED,elect
74333,TO,TO
74334,INITIATE,initi
74335,AN,AN
74336,IMMEDIATE,immedi
74337,CLB,clb
74338,ABOVE,abov
74339,HIS,hi
74340,FLT,flt
74341,PATH,path
74342,TO,TO
74343,16500,16500
74344,FT.,ft.
74345,WE,WE
74346,MAINTAINED,maintain
74347,VISUAL,visual
74348,SEPARATION,separ
74349,FROM,from
74350,THE,the
74351,B747,b747
74352,;,;
74353,BUT,but
74354,APPARENTLY,appar
74355,HE,HE
74356,GOT,got
74357,A,A
74358,TCASII,tcasii
74359,ADVISORY,advisori
74360,BECAUSE,becaus
74361,OF,OF
74362,OUR,our
74363,DECISION,decis
74364,TO,TO
74365,CLB,clb
74366,AND,and
74367,SUBSEQUENTLY,subsequ
74368,HAD,had
74369,TO,TO
74370,WRITE,write
74371,UP,UP
74372,THE,the
74373,INCIDENT,incid
74374,.,.
74375,HE,HE
74376,SAID,said
74377,HE,HE
74378,WOULD,would
74379,NOT,not
74380,HAVE,have
74381,CONSIDERED,consid
74382,IT,IT
74383,A,A
74384,NEAR,near
74385,MISS,miss
74386,;,;
74387,BUT,but
74388,BECAUSE,becaus
74389,OF,OF
74390,THE,the
74391,COCKPIT,cockpit
74392,RECORDER,record
74393,WOULD,would
74394,HAVE,have
74395,TO,TO
74396,FILE,file
74397,PAPERS,paper
74398,WITH,with
74399,HIS,hi
74400,COMPANY,compani
74401,.,.
74402,THE,the
74403,B747,b747
74404,PLT,plt
74405,THOUGHT,thought
74406,WE,WE
74407,PASSED,pass
74408,UNNECESSARILY,unnecessarili
74409,CLOSE,close
74410,.,.
74411,I,I
74412,THINK,think
74413,;,;
74414,BEING,be
74415,THAT,that
74416,WE,WE
74417,WERE,were
74418,VFR,vfr
74419,AND,and
74420,HE,HE
74421,WAS,wa
74422,IFR,ifr
74423,;,;
74424,CENTER,center
74425,SHOULD,should
74426,HAVE,have
74427,VECTORED,vector
74428,HIM,him
74429,AWAY,away
74430,FROM,from
74431,OUR,our
74432,FLT,flt
74433,PATH,path
74434,;,;
74435,BEING,be
74436,WE,WE
74437,INITIALLY,initi
74438,HAD,had
74439,ONLY,onli
74440,500,500
74441,FT,FT
74442,SEP,sep
74443,AND,and
74444,HE,HE
74445,WAS,wa
74446,A,A
74447,HVY,hvi
74448,JET,jet
74449,.,.
74450,AT,AT
74451,THE,the
74452,TIME,time
74453,WE,WE
74454,FELT,felt
74455,IT,IT
74456,BETTER,better
74457,TO,TO
74458,CLB,clb
74459,THROUGH,through
74460,HIS,hi
74461,ALT,alt
74462,BEING,be
74463,WE,WE
74464,WERE,were
74465,BOTH,both
74466,OPERATING,oper
74467,IN,IN
74468,VMC,vmc
74469,;,;
74470,THAN,than
74471,PASS,pass
74472,DIRECTLY,directli
74473,THROUGH,through
74474,HIS,hi
74475,WAKE,wake
74476,.,.
74477,POSSIBLY,possibl
74478,CTR,ctr
74479,COULD,could
74480,HAVE,have
74481,SUGGESTED,suggest
74482,A,A
74483,HDG,hdg
74484,TO,TO
74485,PREVENT,prevent
74486,US,US
74487,FROM,from
74488,PASSING,pass
74489,SO,SO
74490,CLOSE,close
74491,IN,IN
74492,THE,the
74493,FIRST,first
74494,PLACE,place
74495,.,.
74496,OUR,our
74497,FIRST,first
74498,TFC,tfc
74499,ADVISORY,advisori
74500,WAS,wa
74501,TOO,too
74502,LATE,late
74503,FOR,for
74504,US,US
74505,TO,TO
74506,ALTER,alter
74507,COURSE,cours
74508,WITHOUT,without
74509,MAKING,make
74510,AN,AN
74511,EXCESSIVE,excess
74512,BANK,bank
74513,WITH,with
74514,PAX,pax
74515,SO,SO
74516,WE,WE
74517,ELECTED,elect
74518,TO,TO
74519,CLB,clb
74520,.,.
74521,SUPPLEMENTAL,supplement
74522,INFO,info
74523,FROM,from
74524,ACN,acn
74525,314743,314743
74526,:,:
74527,WE,WE
74528,PICKED,pick
74529,HIM,him
74530,UP,UP
74531,(,(
74532,TRAVELING,travel
74533,WBOUND,wbound
74534,INTO,into
74535,THE,the
74536,SUN,sun
74537,),)
74538,AND,and
74539,IMMEDIATELY,immedi
74540,CLBED,clbed
74541,TO,TO
74542,ABOUT,about
74543,16700,16700
74544,FT,FT
74545,ABOVE,abov
74546,HIM,him
74547,USING,use
74548,NORMAL,normal
74549,MANEUVERS,maneuv
74550,CLBING,clbing
74551,ABOUT,about
74552,1500,1500
74553,TO,TO
74554,2000,2000
74555,FPM,fpm
74556,.,.
74557,ACFT,acft
74558,2,2
74559,WAS,wa
74560,IN,IN
74561,SIGHT,sight
74562,AT,AT
74563,ALL,all
74564,TIMES,time
74565,AND,and
74566,WE,WE
74567,ESTIMATED,estim
74568,HIM,him
74569,TO,TO
74570,GET,get
74571,TO,TO
74572,WITHIN,within
74573,1,1
74574,TO,TO
74575,1.5,1.5
74576,MI,MI
74577,FROM,from
74578,US,US
74579,AT,AT
74580,THE,the
74581,CLOSEST,closest
74582,POINT,point
74583,.,.
74584,I,I
74585,CALLED,call
74586,ZBW,zbw
74587,WHEN,when
74588,I,I
74589,GOT,got
74590,ON,ON
74591,THE,the
74592,GND,gnd
74593,AND,and
74594,TALKED,talk
74595,TO,TO
74596,A,A
74597,SUPVR,supvr
74598,.,.
74599,HE,HE
74600,DID,did
74601,NOT,not
74602,BELIEVE,believ
74603,THERE,there
74604,WAS,wa
74605,ANY,ani
74606,CONFLICT,conflict
74607,NOR,nor
74608,DID,did
74609,THE,the
74610,ACTING,act
74611,CTLR,ctlr
74612,;,;
74613,WHILE,while
74614,WE,WE
74615,WERE,were
74616,FLYING,fli
74617,;,;
74618,STATE,state
74619,IT,IT
74620,WAS,wa
74621,A,A
74622,NEAR,near
74623,MISS,miss
74624,.,.
74625,I,I
74626,THOUGHT,thought
74627,IT,IT
74628,WOULD,would
74629,BE,BE
74630,BETTER,better
74631,TO,TO
74632,CLB,clb
74633,UP,UP
74634,AND,and
74635,OVER,over
74636,AND,and
74637,BACK,back
74638,BEHIND,behind
74639,THE,the
74640,B747,b747
74641,TO,TO
74642,15500,15500
74643,FT,FT
74644,INSTEAD,instead
74645,OF,OF
74646,DEALING,deal
74647,WITH,with
74648,WAKE,wake
74649,TURB,turb
74650,AVOIDANCE,avoid
74651,.,.
74652,ACR,acr
74653,X,X
74654,HAD,had
74655,NMAC,nmac
74656,WITH,with
74657,ACR,acr
74658,BE02,be02
74659,.,.
74660,VISUAL,visual
74661,SEPARATION,separ
74662,IN,IN
74663,USE,use
74664,.,.
74665,SEE,see
74666,AND,and
74667,AVOID,avoid
74668,CONCEPT,concept
74669,.,.
74670,ACR,acr
74671,X,X
74672,FROM,from
74673,BOSTON,boston
74674,TO,TO
74675,PORTLAND,portland
74676,;,;
74677,ME,ME
74678,.,.
74679,WE,WE
74680,WERE,were
74681,FLYING,fli
74682,DIRECT,direct
74683,PEASE,peas
74684,VOR,vor
74685,AT,AT
74686,7000,7000
74687,FT,FT
74688,WHEN,when
74689,ATC,atc
74690,TOLD,told
74691,US,US
74692,TFC,tfc
74693,12,12
74694,O'CLOCK,o'clock
74695,5,5
74696,MI,MI
74697,AT,AT
74698,7700,7700
74699,FT.,ft.
74700,WE,WE
74701,TOLD,told
74702,ATC,atc
74703,'NEGATIVE,'neg
74704,TFC,tfc
74705,.,.
74706,KEEP,keep
74707,US,US
74708,ADVISED,advis
74709,.,.
74710,','
74711,'TFC,'tfc
74712,','
74713,THEN,then
74714,CALLED,call
74715,ATC,atc
74716,'TFC,'tfc
74717,IN,IN
74718,SIGHT,sight
74719,.,.
74720,','
74721,NEXT,next
74722,XMISSION,xmission
74723,FROM,from
74724,ATC,atc
74725,SOUNDED,sound
74726,LIKE,like
74727,;,;
74728,'TFC,'tfc
74729,WILL,will
74730,PASS,pass
74731,BEHIND,behind
74732,.,.
74733,','
74734,THEN,then
74735,TFC,tfc
74736,PASSED,pass
74737,IN,IN
74738,FRONT,front
74739,OF,OF
74740,US,US
74741,FROM,from
74742,3,3
74743,O'CLOCK,o'clock
74744,AT,AT
74745,THE,the
74746,SAME,same
74747,ALT,alt
74748,AND,and
74749,MISSED,miss
74750,US,US
74751,BY,BY
74752,APPROX,approx
74753,500,500
74754,FT.,ft.
74755,WE,WE
74756,TOLD,told
74757,ATC,atc
74758,WE,WE
74759,HAD,had
74760,TFC,tfc
74761,PASSING,pass
74762,BY,BY
74763,.,.
74764,ATC,atc
74765,TOLD,told
74766,US,US
74767,THAT,that
74768,HE,HE
74769,HAD,had
74770,GIVEN,given
74771,US,US
74772,A,A
74773,HDG,hdg
74774,FOR,for
74775,TFC,tfc
74776,AND,and
74777,THE,the
74778,TFC,tfc
74779,HAD,had
74780,US,US
74781,IN,IN
74782,SIGHT,sight
74783,.,.
74784,WE,WE
74785,NEVER,never
74786,HEARD,heard
74787,ATC,atc
74788,CALL,call
74789,FOR,for
74790,A,A
74791,HDG,hdg
74792,;,;
74793,OR,OR
74794,DID,did
74795,WE,WE
74796,READ,read
74797,IT,IT
74798,BACK,back
74799,.,.
74800,I,I
74801,BELIEVE,believ
74802,THAT,that
74803,THE,the
74804,TFC,tfc
74805,SHOULD,should
74806,HAVE,have
74807,KEPT,kept
74808,MUCH,much
74809,GREATER,greater
74810,DISTANCE,distanc
74811,AND,and
74812,ATC,atc
74813,SHOULD,should
74814,HAVE,have
74815,LISTENED,listen
74816,FOR,for
74817,A,A
74818,READBACK,readback
74819,.,.
74820,PLUS,plu
74821,A,A
74822,TCASII,tcasii
74823,WOULD,would
74824,HAVE,have
74825,BEEN,been
74826,HELPFUL,help
74827,.,.
74828,NMAC,nmac
74829,BTWN,btwn
74830,DEP,dep
74831,ARR,arr
74832,TFC,tfc
74833,AT,AT
74834,ACK,ack
74835,.,.
74836,DEP,dep
74837,INSTRUCTIONS,instruct
74838,WERE,were
74839,RWY,rwi
74840,HDG,hdg
74841,TO,TO
74842,2000,2000
74843,FT.,ft.
74844,JUST,just
74845,AFTER,after
74846,TKOF,tkof
74847,;,;
74848,TWR,twr
74849,ALERTED,alert
74850,US,US
74851,TO,TO
74852,TFC,tfc
74853,AT,AT
74854,OUR,our
74855,10,10
74856,O'CLOCK,o'clock
74857,;,;
74858,DIRECTED,direct
74859,A,A
74860,TURN,turn
74861,TO,TO
74862,A,A
74863,HDG,hdg
74864,OF,OF
74865,010,010
74866,DEGS,deg
74867,;,;
74868,AND,and
74869,INSTRUCTED,instruct
74870,US,US
74871,TO,TO
74872,CHANGE,chang
74873,TO,TO
74874,THE,the
74875,APCH,apch
74876,FREQ,freq
74877,.,.
74878,THIS,thi
74879,INTERRUPTED,interrupt
74880,OUR,our
74881,AFTER,after
74882,TKOF,tkof
74883,FLOW,flow
74884,;,;
74885,INCLUDING,includ
74886,OUR,our
74887,'1000,'1000
74888,FT,FT
74889,TO,TO
74890,GO,GO
74891,','
74892,CALLOUT,callout
74893,.,.
74894,AT,AT
74895,THE,the
74896,SAME,same
74897,TIME,time
74898,;,;
74899,OUR,our
74900,TCASII,tcasii
74901,GAVE,gave
74902,US,US
74903,BOTH,both
74904,A,A
74905,VISUAL,visual
74906,AND,and
74907,AURAL,aural
74908,TA,TA
74909,;,;
74910,WITH,with
74911,THE,the
74912,TFC,tfc
74913,IN,IN
74914,QUESTION,question
74915,AT,AT
74916,OUR,our
74917,10-12,10-12
74918,O'CLOCK,o'clock
74919,;,;
74920,AT,AT
74921,THE,the
74922,ALT,alt
74923,THROUGH,through
74924,WHICH,which
74925,WE,WE
74926,WERE,were
74927,PASSING,pass
74928,AND,and
74929,SHOWING,show
74930,VERY,veri
74931,CLOSE,close
74932,;,;
74933,ALMOST,almost
74934,ON,ON
74935,TOP,top
74936,OF,OF
74937,;,;
74938,OUR,our
74939,CURRENT,current
74940,POS,po
74941,.,.
74942,BOTH,both
74943,OF,OF
74944,US,US
74945,PLTS,plt
74946,RESPONDED,respond
74947,TO,TO
74948,THE,the
74949,TA,TA
74950,;,;
74951,LOOKING,look
74952,INSIDE,insid
74953,AT,AT
74954,THE,the
74955,TCASII,tcasii
74956,SCREEN,screen
74957,AS,AS
74958,WELL,well
74959,AS,AS
74960,OUTSIDE,outsid
74961,FOR,for
74962,THE,the
74963,TFC,tfc
74964,WHILE,while
74965,I,I
74966,WAS,wa
74967,TURNING,turn
74968,TO,TO
74969,THE,the
74970,NEWLY,newli
74971,ASSIGNED,assign
74972,HDG,hdg
74973,.,.
74974,MEANWHILE,meanwhil
74975,;,;
74976,WE,WE
74977,CONTINUED,continu
74978,TO,TO
74979,CLB,clb
74980,AT,AT
74981,TKOF,tkof
74982,PWR,pwr
74983,AND,and
74984,200,200
74985,KIAS,kia
74986,IN,IN
74987,THE,the
74988,ATA,ata
74989,.,.
74990,AS,AS
74991,WE,WE
74992,WERE,were
74993,ABOUT,about
74994,TO,TO
74995,PASS,pass
74996,THROUGH,through
74997,2000,2000
74998,FT,FT
74999,;,;
75000,THE,the
75001,PNF,pnf
75002,ALERTED,alert
75003,ME,ME
75004,WITH,with
75005,A,A
75006,CALLOUT,callout
75007,.,.
75008,IN,IN
75009,AN,AN
75010,EFFORT,effort
75011,TO,TO
75012,NOT,not
75013,OVER-CONTROL,over-control
75014,THE,the
75015,LEVEL,level
75016,OFF,off
75017,FROM,from
75018,OUR,our
75019,CLB,clb
75020,RATE,rate
75021,OF,OF
75022,4000-5000,4000-5000
75023,FPM,fpm
75024,;,;
75025,I,I
75026,REDUCED,reduc
75027,PWR,pwr
75028,STEADILY,steadili
75029,BUT,but
75030,NOT,not
75031,QUICKLY,quickli
75032,;,;
75033,AND,and
75034,PUSHED,push
75035,THE,the
75036,NOSE,nose
75037,OVER,over
75038,;,;
75039,DSNDING,dsnding
75040,BACK,back
75041,TO,TO
75042,2000,2000
75043,FT.,ft.
75044,AT,AT
75045,OUR,our
75046,HIGHEST,highest
75047,POINT,point
75048,;,;
75049,WE,WE
75050,REACHED,reach
75051,750,750
75052,FT,FT
75053,ABOVE,abov
75054,OUR,our
75055,ASSIGNED,assign
75056,ALT,alt
75057,.,.
75058,I,I
75059,BELIEVE,believ
75060,THIS,thi
75061,EXCURSION,excurs
75062,WAS,wa
75063,CAUSED,caus
75064,BY,BY
75065,(,(
75066,1,1
75067,),)
75068,THE,the
75069,INTERRUPTION,interrupt
75070,OF,OF
75071,OUR,our
75072,AFTER,after
75073,TKOF,tkof
75074,FLOW,flow
75075,AND,and
75076,CALLOUTS,callout
75077,;,;
75078,ESPECIALLY,especi
75079,THE,the
75080,'1000,'1000
75081,FT,FT
75082,TO,TO
75083,GO,GO
75084,','
75085,CALLOUT,callout
75086,;,;
75087,(,(
75088,2,2
75089,),)
75090,THE,the
75091,ATTEMPT,attempt
75092,BY,BY
75093,BOTH,both
75094,PLTS,plt
75095,TO,TO
75096,ANALYZE,analyz
75097,THE,the
75098,TCASII,tcasii
75099,ALERT,alert
75100,IN,IN
75101,ORDER,order
75102,TO,TO
75103,LOCATE,locat
75104,AND,and
75105,AVOID,avoid
75106,THE,the
75107,TFC,tfc
75108,;,;
75109,AND,and
75110,(,(
75111,3,3
75112,),)
75113,DIVERSION,divers
75114,OF,OF
75115,ATTN,attn
75116,AS,AS
75117,PF,PF
75118,FROM,from
75119,MAINTAINING,maintain
75120,ASSIGNED,assign
75121,HDGS,hdg
75122,;,;
75123,ALTS,alt
75124,;,;
75125,AND,and
75126,AIRSPDS,airspd
75127,.,.
75128,INTERRUPTIONS,interrupt
75129,FROM,from
75130,EXTERNAL,extern
75131,SOURCES,sourc
75132,ARE,are
75133,A,A
75134,GIVEN,given
75135,IN,IN
75136,THE,the
75137,COURSE,cours
75138,OF,OF
75139,ANY,ani
75140,FLT,flt
75141,AND,and
75142,CAN,can
75143,NOT,not
75144,BE,BE
75145,PREVENTED,prevent
75146,BY,BY
75147,THE,the
75148,CREW,crew
75149,;,;
75150,SO,SO
75151,I,I
75152,CAN,can
75153,NOT,not
75154,RECOMMEND,recommend
75155,A,A
75156,CORRECTIVE,correct
75157,ACTION,action
75158,FOR,for
75159,THAT,that
75160,.,.
75161,FOR,for
75162,THE,the
75163,OTHER,other
75164,TWO,two
75165,FACTORS,factor
75166,;,;
75167,CHANGES,chang
75168,IN,IN
75169,OUR,our
75170,OPERATIONAL,oper
75171,PROCS,proc
75172,ARE,are
75173,POSSIBLE,possibl
75174,TO,TO
75175,MINIMIZE,minim
75176,CHANCES,chanc
75177,OF,OF
75178,A,A
75179,RECURRENCE,recurr
75180,.,.
75181,ON,ON
75182,FUTURE,futur
75183,FLTS,flt
75184,UNDER,under
75185,IFR,ifr
75186,;,;
75187,WE,WE
75188,WILL,will
75189,NOT,not
75190,OPERATE,oper
75191,THE,the
75192,TCASII,tcasii
75193,IN,IN
75194,THE,the
75195,TERMINAL,termin
75196,AREA,area
75197,DURING,dure
75198,DEP,dep
75199,;,;
75200,BUT,but
75201,INSTEAD,instead
75202,RELY,reli
75203,UPON,upon
75204,ATC,atc
75205,AS,AS
75206,WE,WE
75207,HAVE,have
75208,IN,IN
75209,THE,the
75210,PAST,past
75211,TO,TO
75212,KEEP,keep
75213,US,US
75214,CLR,clr
75215,AS,AS
75216,WE,WE
75217,FLY,fli
75218,ASSIGNED,assign
75219,HDGS,hdg
75220,AND,and
75221,ALTS,alt
75222,UNTIL,until
75223,SUCH,such
75224,TIME,time
75225,AS,AS
75226,WE,WE
75227,ARE,are
75228,ABLE,abl
75229,TO,TO
75230,GIVE,give
75231,TCASII,tcasii
75232,ALERTS,alert
75233,OUR,our
75234,ATTN,attn
75235,WITHOUT,without
75236,DEGRADATION,degrad
75237,TO,TO
75238,OUR,our
75239,FLT,flt
75240,PARAMETERS,paramet
75241,.,.
75242,DURING,dure
75243,VFR,vfr
75244,DEPS,dep
75245,WHERE,where
75246,WE,WE
75247,ARE,are
75248,NOT,not
75249,ARTIFICIALLY,artifici
75250,LIMITED,limit
75251,TO,TO
75252,A,A
75253,LOW,low
75254,INITIAL,initi
75255,LEVEL,level
75256,OFF,off
75257,ALT,alt
75258,OR,OR
75259,A,A
75260,SPECIFIC,specif
75261,HDG,hdg
75262,AND,and
75263,MAY,may
75264,NOT,not
75265,HAVE,have
75266,THE,the
75267,FULL,full
75268,ASSISTANCE,assist
75269,OF,OF
75270,ATC,atc
75271,;,;
75272,WE,WE
75273,WILL,will
75274,CONTINUE,continu
75275,TO,TO
75276,USE,use
75277,THE,the
75278,TCASII,tcasii
75279,FOR,for
75280,COLLISION,collis
75281,AVOIDANCE,avoid
75282,.,.
75283,AS,AS
75284,PF,PF
75285,;,;
75286,I,I
75287,WILL,will
75288,NOT,not
75289,PERMIT,permit
75290,MY,MY
75291,ATTN,attn
75292,TO,TO
75293,BE,BE
75294,DIVERTED,divert
75295,FROM,from
75296,HDG,hdg
75297,;,;
75298,ALT,alt
75299,;,;
75300,OR,OR
75301,AIRSPD,airspd
75302,UNTIL,until
75303,AT,AT
75304,LEAST,least
75305,THE,the
75306,ACFT,acft
75307,IS,IS
75308,STABILIZED,stabil
75309,AT,AT
75310,INITIAL,initi
75311,CRUISE,cruis
75312,.,.
75313,INSTEAD,instead
75314,I,I
75315,WILL,will
75316,BRIEF,brief
75317,AND,and
75318,RELY,reli
75319,UPON,upon
75320,THE,the
75321,PNF,pnf
75322,TO,TO
75323,HANDLE,handl
75324,ANY,ani
75325,INTERRUPTIONS,interrupt
75326,WHICH,which
75327,MAY,may
75328,ARISE,aris
75329,.,.
75330,NMAC,nmac
75331,APPARENTLY,appar
75332,CAUSED,caus
75333,BY,BY
75334,MHT,mht
75335,TRACON,tracon
75336,.,.
75337,MANCHESTER,manchest
75338,CLRED,clred
75339,ME,ME
75340,FOR,for
75341,THE,the
75342,VISUAL,visual
75343,APCH,apch
75344,AT,AT
75345,5,5
75346,MI,MI
75347,W,W
75348,AND,and
75349,5000,5000
75350,FT,FT
75351,.,.
75352,I,I
75353,WAS,wa
75354,UNABLE,unabl
75355,TO,TO
75356,COMPLY,compli
75357,AND,and
75358,INFORMED,inform
75359,THEM,them
75360,.,.
75361,THEY,they
75362,GAVE,gave
75363,ME,ME
75364,A,A
75365,HDG,hdg
75366,OF,OF
75367,330,330
75368,DEGS,deg
75369,AND,and
75370,DSCNT,dscnt
75371,TO,TO
75372,2000,2000
75373,FT,FT
75374,.,.
75375,WHEN,when
75376,I,I
75377,WAS,wa
75378,ABEAM,abeam
75379,THE,the
75380,OM,OM
75381,;,;
75382,THEY,they
75383,TURNED,turn
75384,ME,ME
75385,IN,IN
75386,;,;
75387,AND,and
75388,ALLOWED,allow
75389,ME,ME
75390,TO,TO
75391,SWITCH,switch
75392,FREQ,freq
75393,.,.
75394,I,I
75395,WAITED,wait
75396,UNTIL,until
75397,FREQ,freq
75398,WAS,wa
75399,CLR,clr
75400,AND,and
75401,ANNOUNCED,announc
75402,MY,MY
75403,POS,po
75404,TO,TO
75405,NASHUA,nashua
75406,TWR,twr
75407,WHO,who
75408,WAS,wa
75409,SURPRISED,surpris
75410,AT,AT
75411,MY,MY
75412,APPEARANCE,appear
75413,THERE,there
75414,.,.
75415,CALLBACK,callback
75416,CONVERSATION,convers
75417,WITH,with
75418,RPTR,rptr
75419,REVEALED,reveal
75420,THE,the
75421,FOLLOWING,follow
75422,INFO,info
75423,:,:
75424,THE,the
75425,RPTR,rptr
75426,FLIES,fli
75427,A,A
75428,MOONEY,mooney
75429,M-20J,m-20j
75430,;,;
75431,COMMUTING,commut
75432,FROM,from
75433,NH,NH
75434,TO,TO
75435,NJ,NJ
75436,.,.
75437,'MHT,'mht
75438,HAS,ha
75439,A,A
75440,FEW,few
75441,PROBS,prob
75442,;,;
75443,','
75444,SAID,said
75445,THE,the
75446,RPTR,rptr
75447,.,.
75448,MHT,mht
75449,APCH,apch
75450,SERVES,serv
75451,ASH,ash
75452,CLASS,class
75453,'D,'D
75454,','
75455,AIRSPACE,airspac
75456,;,;
75457,BUT,but
75458,NOT,not
75459,VERY,veri
75460,WELL,well
75461,.,.
75462,IFR,ifr
75463,ACFT,acft
75464,ARE,are
75465,OFTEN,often
75466,BROUGHT,brought
75467,TOWARDS,toward
75468,ASH,ash
75469,AT,AT
75470,5000,5000
75471,FT,FT
75472,;,;
75473,TOO,too
75474,CLOSE,close
75475,FOR,for
75476,A,A
75477,REASONABLE,reason
75478,APCH,apch
75479,.,.
75480,THE,the
75481,RPTR,rptr
75482,DID,did
75483,NOT,not
75484,SEE,see
75485,A,A
75486,BARON,baron
75487,THAT,that
75488,WAS,wa
75489,ON,ON
75490,THE,the
75491,ILS,il
75492,TO,TO
75493,ASH,ash
75494,.,.
75495,THE,the
75496,BARON,baron
75497,HAD,had
75498,TO,TO
75499,TAKE,take
75500,EVASIVE,evas
75501,ACTION,action
75502,WHEN,when
75503,THE,the
75504,RPTR,rptr
75505,PLUMMETED,plummet
75506,OUT,out
75507,OF,OF
75508,THE,the
75509,CLOUDS,cloud
75510,.,.
75511,WHEN,when
75512,THE,the
75513,RPTR,rptr
75514,CALLED,call
75515,ASH,ash
75516,ATCT,atct
75517,OVER,over
75518,THE,the
75519,OM,OM
75520,;,;
75521,ASH,ash
75522,SAID,said
75523,'WHAT,'what
75524,THE,the
75525,HELL,hell
75526,ARE,are
75527,YOU,you
75528,DOING,do
75529,THERE,there
75530,!,!
75531,','
75532,MHT,mht
75533,HAD,had
75534,NOT,not
75535,FORWARDED,forward
75536,THE,the
75537,RPTR,rptr
75538,'S,'S
75539,PROGRESS,progress
75540,TO,TO
75541,ASH,ash
75542,.,.
75543,THE,the
75544,RPTR,rptr
75545,WENT,went
75546,TO,TO
75547,THE,the
75548,ASH,ash
75549,TWR,twr
75550,TO,TO
75551,APOLOGIZE,apolog
75552,.,.
75553,FROM,from
75554,THE,the
75555,ATCT,atct
75556,;,;
75557,HE,HE
75558,CALLED,call
75559,MHT,mht
75560,.,.
75561,MHT,mht
75562,ACKNOWLEDGED,acknowledg
75563,THAT,that
75564,THERE,there
75565,HAD,had
75566,BEEN,been
75567,A,A
75568,PROB,prob
75569,AND,and
75570,THAT,that
75571,TRAINING,train
75572,WAS,wa
75573,IN,IN
75574,PROGRESS,progress
75575,AT,AT
75576,MHT,mht
75577,.,.
75578,THE,the
75579,RPTR,rptr
75580,HEARD,heard
75581,THAT,that
75582,HE,HE
75583,AND,and
75584,THE,the
75585,BARON,baron
75586,HAD,had
75587,MISSED,miss
75588,BY,BY
75589,ONLY,onli
75590,200,200
75591,FT,FT
75592,.,.
75593,THE,the
75594,RPTR,rptr
75595,STATES,state
75596,THAT,that
75597,HE,HE
75598,HAS,ha
75599,SENT,sent
75600,'SEVERAL,'sever
75601,OTHER,other
75602,RPTS,rpt
75603,','
75604,TO,TO
75605,THE,the
75606,ASRS,asr
75607,ON,ON
75608,THE,the
75609,ATC,atc
75610,SYS,sy
75611,AT,AT
75612,ASH,ash
75613,;,;
75614,HIS,hi
75615,HOME,home
75616,PORT,port
75617,.,.
75618,HE,HE
75619,IS,IS
75620,NOW,now
75621,AWARE,awar
75622,OF,OF
75623,THE,the
75624,FAA,faa
75625,AVIATION,aviat
75626,SAFETY,safeti
75627,HOTLINE,hotlin
75628,.,.
75629,PLT,plt
75630,OF,OF
75631,AN,AN
75632,SMA,sma
75633,SEL,sel
75634,COMPLAINED,complain
