 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1379396,201608,0601-1200,BHB.Airport,ME,,,200,,VMC,100,,Daylight,25000,,CTAF BHB,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,Part 91,None,Personal,,Final Approach,Visual Approach,Class E BHB,,,,,,,,,,,,,,,CTAF BHB,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,Part 91,None,Personal,,Final Approach,,Class E BHB,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 65; Flight Crew Total 3300; Flight Crew Type 1100,,,,1379396,,,,,,,,,,,Conflict NMAC; Deviation - Procedural Published Material / Policy,Horizontal 0; Vertical 400,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Human Factors,Human Factors,"Approaching busy resort area non-towered airport BHB VFR. Winds variable from calm to 8 kts for 45 minutes prior to landing shifting from northwest to southwest. No response from airport management on UNICOM to repeated requests from me and others for airport advisory; despite airport maintenance vehicle making several calls when crossing runway. AFD (Airport/Facility Directory) has seemingly nonstandard language that turned out to be confusing for some on what runway to use during calm wind conditions. When I was 7 miles SW; ASOS reported winds calm. I took AFD statement to mean that runway 22 is preferred runway when winds reported as less than 5 kts. I set up for a left downwind to 22. An aircraft called in from the South and prepared to; and proceeded to land runway 4 despite 5 other aircraft approaching/in pattern for runway 22. Someone asked on frequency why the aircraft would choose to use runway 4 when the runway in use is 22. The aircraft responded that he took off earlier that morning and the winds favored runway 4; that's what he considered the safest runway; and that he asserted there was no calm wind runway at the airport despite my popping in to report that AFD says Runway 22 is the calm wind runway. Given the total of 7 aircraft approaching/in the pattern (including me) from all directions simultaneously (one crossed perpendicular to me; 300 ft above pattern altitude; as part of his pattern entry); I did not have a visual on the runway 4 aircraft until I turned final. Since he was closer to landing than me; and appeared insistent on landing; I shifted right and went around (above the landing aircraft). I suspect that the landing aircraft may have been a local pilot given his statement on CTAF and where he taxied to on the airport. Can the AFD language be changed for greater clarity in this situation? Can airport management provide typical Unicom services on runway in use? While the largest aircraft in the pattern during my arrival was a King Air; the ramp was filled with mid and large cabin jets. It's also an air carrier airport. The chaos and lack of coordination/conflicting traffic is disconcerting.",,,,"General aviation pilot reported going around at BHB on approach to Runway 22 when another aircraft was landing Runway 04 contrary to the AFD which recommended Runway 22 as the calm wind runway.",
1388421,201609,1201-1800,SFM.Airport,ME,,,100,,VMC,10,,Daylight,10000,,CTAF SFM,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2,Part 91,VFR,Training,,Initial Climb,Direct,Class G SFM,,,,,,,,,,,,,,,,Personal,Sail Plane,,1,Part 91,,Personal,,Initial Approach,,Class G SFM,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Not Flying; Instructor,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 77; Flight Crew Total 657; Flight Crew Type 362,,Communication Breakdown; Situational Awareness; Training / Qualification; Confusion; Distraction,Party1 Flight Crew; Party2 Flight Crew,1388421,,,,,,,,,,,Conflict NMAC; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,Horizontal 200; Vertical 0,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,"This was a cross country training flight with a student into SFM. During approach and landing at the airport; it was observed that there were glider operations occurring on the grass to the South side of the active runway 25. The student and I landed the plane on runway 25 and taxied back to the takeoff end of the runway in preparation for our next leg of the trip. While checking our plane and adjusting instruments; a tow plane with a glider announced that they were taking off on runway 25 with a glider in tow. As we continued to check and set up our plane; the glider tow plane announced that they had released the glider. We continued with our pre-flight checks; scanned the area and waited for another plane to land on runway 25. Once we were ready for takeoff; both the student and I again scanned the runway approach and departure paths for traffic. We noticed that the released glider was coming in for a landing onto the grass to the south of runway 25 where the glider operations were in progress. The approach that the glider was taking placed it sufficiently to the side of the runway so as not to interfere with our departure. The approach path of the glider was to the south of Runway 25 and in a direction directly opposite to runway 25 (parallel to runway 7). This placed the glider directly looking in the direction of the departure end of runway 25. Based upon the approach path of the glider; I told the student that we were clear to depart. The student self-announced our departure; waited a few seconds and then pulled out onto the runway applying full power for takeoff. I did a quick scan of our plane's instruments and control settings and then turned my attention to the runway ahead of us as the plane accelerated and the student lifted it from the runway. As I scanned ahead; the glider on approach to the grass landing on the South side of runway 25 turned to the North crossing directly in front of our plane as we were passing through approximately 100 feet AGL. The altitude of the glider at this point was approximately 75 feet higher and descending while it appeared to be about 400 feet in front of our plane. I immediately took control from the student. As the glider was descending and our plane was gaining speed and altitude; I did not believe that I could easily hold the plane below the glider nor did I believe that I could effectively climb above the glider. I also felt that a turn to the left (south) would have placed me over other planes and people at the glider operations and brought me back into the path of the glider if he turned back to land. My only option was to bank the plane to the right (North) on the same heading as the glider. I lowered our plane's nose to try to stop my climb and increase my airspeed and entered approximately a 30 to 35 degree banked turn to the North side of runway 25. My turn brought me approximately 250 to 300 feet off the North side of runway 25 before observing the glider made a sharp turn back toward the glider operation area on the South side of the runway. I then leveled out the turn passing approximately 200 feet from the glider at the same altitude. We continued our climb out departing from the airport.It is my belief that the problem arose due to the glider's failure to visually clear the runway for traffic and the glider's performance of a low level maneuver (circle) over and into the potential flight path of other aircraft rather than turning in a direction outside of the runway environment. Contributing to this was the apparent lack of radio communications for the glider. In the future; if glider operations are in progress at this airport; I will continue to hold until the glider completely lands.",,,,"Instructor pilot reported taking control of the aircraft after takeoff to avoid a glider which flew into the SFM Runway 25 departure path.",
1398214,201610,0601-1200,BOS.Airport,MA,,,,7000,VMC,,,Daylight,,,TRACON A90,Air Carrier,A319,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Initial Approach,STAR ROBUC2,Class E A90,,,,,,,,,,,,,,,,,UAV - Unpiloted Aerial Vehicle,,,,,,,Cruise,,Class E A90,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 420,,,,1398214,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 5266,,,,1398222,Conflict Airborne Conflict,Horizontal 500; Vertical 1000,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While descending through 7;000 feet between BEREI and BBOGG intersection on the ROBUC2 STAR into BOS; the captain reported to me that he saw a silver and white colored drone 1;000 feet below our aircraft and approximately 500 feet off our 8 o'clock position. The sighting was reported to BOS Approach Control.",,"While on the ROBUC2 Arrival near the BEREI Intersection descending through 7000 feet; a silver and white drone was sighted 500 feet laterally left and 1000 feet vertically below the aircraft.",,"A319 flight crew reported sighting a UAV below and to the left of their aircraft while descending through 7000 feet on the ROBUC2 arrival to BOS.",
1398576,201610,1801-2400,ZBW.ARTCC,NH,,,,7000,Marginal,Turbulence,,,,,Center ZBW,,Any Unknown or Unlisted Aircraft Manufacturer,,,,IFR,,,Other Holding Pattern,Vectors,Class E ZBW,,,,,,,,,,,,,,,Center ZBW,,Any Unknown or Unlisted Aircraft Manufacturer,,,,VFR,,,Descent,None,Class E ZBW,,,,,,,,,,,Facility ZBW.ARTCC,,Government,Enroute; Handoff / Assist,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1.5,,Confusion; Situational Awareness; Training / Qualification; Workload,,1398576,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Separated Traffic,Procedure; Staffing,Staffing,"A supervisor was working traffic that was too busy. There was complex weather that had reports of extreme turbulence where the pilot had lost control of their aircraft briefly in the next sector. The traffic was moderate and starting to back up because of the delays and holding in the sector. In the beginning the sectors were combined. The Controller In Charge (CIC) came over and asked the Supervisor Radar Controller if he wanted to split the sectors and he replied yes. The de-combining of the sectors was not a factor of the incident in my opinion.There were two aircraft holding at an intersection at the time; one at 7000 feet and one at 8000 feet. There was a VFR target that had no code indicating 7500 feet heading on a northwest track for the holding pattern. This same aircraft I had noticed had initially been at 9500 feet. I told the supervisor to 'Watch out for that 095 ...'. This target was in conflict with an arrival leaving 10000 feet for 7000 feet. The supervisor turned the arrival to the east and it was not a factor. The report of extreme turbulence had been reported by a PC12 from 3000-6000 feet and the weather had now moved becoming a problem for the Arrival aircraft. All of the arrivals required 2-3 point outs and I suggested to the supervisor to hold the aircraft north of the weather so it would create less safety hazards; work and no one would go anywhere near the extreme turbulence that was moving in. He did not take my suggestion and I kept doing the point outs and coordination. Poor judgment was used in this situation.After getting off the line with one Center sector on a point out I noticed the 7500 foot target 5 miles from the 7000 foot IFR traffic in holding. I asked my supervisor 'did you call that traffic'; the supervisor responded 'no; I didn't see it'. The aircraft holding then turned into the VFR aircraft because he was starting his turn in the hold. The supervisor issued a Traffic Alert and the targets merged; but the VFR target had climbed up to 7900 feet. After the target (not in communications with Air Traffic) passed the IFR aircraft in our sector the target started descending below 6500 feet but was no longer a factor. The 8000 foot IFR aircraft that was originally in holding had been cleared out of holding and handed off to the next sector. During this same session a MSV departure departed. The supervisor instructed me not to take the handoff because 'We shouldn't be working these guys.' Center sector that was working the airplane had to call for a handoff and the supervisor was reluctant to take it even though there was no traffic or complexity with the aircraft in this situation. He finally took radar contact on the aircraft and climbed him to 17000 feet. This contributed to the complexity of the Assist-side duties because now a point out to Approach was required and a call on a handoff to a Center. During this time I was also calling other Center sectors for point outs. I do not recall if this was after or before the situation with the Traffic Alert.The workload was too great for the supervisor to be working and his judgment was poor creating safety hazards; a safety event (Traffic Alert); and increased workload. The first recommendation would be to not allow supervisors to work busy traffic. Controlling airplanes is not their primary job and they should work light traffic ('Green'). If staffing is an issue there should be more Traffic Management initiatives instead of a supervisor working busy traffic.The second recommendation is to have the MSV departures worked by Center again. If they were flight planned on a different route it would take off a few miles on their route and additional Center sectors would not have to work the aircraft. The reason it is complicated for Center is because their sector has minimal time to climb the aircraft; possibly do a point out to Approach and call on a handoff since the aircraft handoff is initiated after the 'two minutes from theboundary' rule. It is also complex because the Center Sector gets aircraft from Approach; an adjacent center; and EWR Satellite traffic all in the area of MSV.",,,,"ZBW Center Controller observed that the traffic complexity was too much for a Supervisor that was working the radar position for proficiency time. Also the Controller recommended a new procedure for departures from MSV.",
1408753,201612,0001-0600,ZBW.ARTCC,NH,,,,15000,,,,,,,Center ZBW,Air Carrier,Embraer Undifferentiated or Other Model,,2,Part 91,IFR,Passenger,,Cruise,Vectors,Class A ZBW; Class E A90,,,,,,,,,,,,,,,Center ZBW,,Bombardier Learjet Undifferentiated or Other Model,,2,Part 91,IFR,,,Climb,Direct,Class A ZBW; Class E A90,,,,,,,,,,,Facility ZBW.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 6.0,,Situational Awareness; Confusion; Communication Breakdown,Party1 ATC; Party2 Flight Crew,1408753,Aircraft X,,Corporate,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 40; Flight Crew Total 4500; Flight Crew Type 800,,,,1411237,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Automation Aircraft RA; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Procedure,Procedure,"Aircraft X was a departure level at 16000 feet on a westbound route. Aircraft Y was on a southwest bound route. I initially climbed Aircraft Y  to 15000 feet and issued traffic to both aircraft. Aircraft Y reported Aircraft X in sight and since they were the only two aircraft in the vicinity and it appeared Aircraft Y would be crossing behind the path of Aircraft X. I instructed Aircraft Y to maintain visual separation and climb to 23000 feet. I did not clearly understand Aircraft Y 's read back the first time so I restated and asked for clarification that he would maintain visual separation. He responded that he would. I then told Aircraft X that the other traffic had him in sight and would be climbing visually behind him. At the point that I made the decision to apply visual separation rules. The speed and climb rate of Aircraft Y led me to think that he would be passing behind Aircraft X and targets would not merge. Aircraft X then reported that he was responding to an Resolution Advisory (RA) and was climbing. I then verified again that Aircraft Y still had the aircraft in sight. Aircraft Y responded that he did and I told him that Aircraft X was responding to an RA and climbing now. Aircraft X then stated his concern for an aircraft getting that close to him and Aircraft Y stated that they weren't that close. I don't think I would leave separation decisions to a general aviation pilot when an airline carrying hundreds of passengers are involved. Although visual separation is a tool to expedite traffic flow in this situation it would have only been a minute delay before the aircraft could continue his climb.",,"We were then handed off to Boston departure and assigned a heading of 230 and a climb up to 14;000 feet; which we did. Boston departure then handed us off to Boston Center. Boston Center then gave us a climb clearance to 15;000 feet. We were later issued another clearance to turn to another heading and a climb to a flight level. My First Officer read back just the heading and not the altitude and the controller never corrected him with the flight level he wanted us to climb to. In the interest of safety; I didn't begin the climb until I was certain of what flight level he wanted us to climb to.He then told us that we had traffic at 10 o'clock and 10 miles south west bound; an Embraer at 16;000 feet and that we should report the traffic which we did. He then advised [the Embraer] that they had traffic at two to 3 o'clock southwest bound; a Lear Jet climbing 1000 feet below them. He then got back to us to confirm that we had the traffic and that we were climbing to FL230. Now certain that we were cleared to FL230; we began our climb and received an RA telling us to descend and then level off. As soon as we heard the Resolution Advisory I disconnected the auto pilot and begin to descend as the Embraer passed in front of us and above us from left to right.",,"Air Traffic Controller and Air Taxi Captain reported another aircraft had to respond to an RA and told the controller the climbing aircraft was too close.",
1422921,201702,0601-1200,ZBW.ARTCC,NH,,,,27000,,,,Daylight,,,Center ZNY,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,,Descent,Vectors,Class A ZBW,,,,,,,,,,,,,,,Center ZNY,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,,Descent,,Class A ZBW,,,,,,,,,,,Facility ZBW.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 6,,Communication Breakdown; Confusion; Situational Awareness; Workload,Party1 ATC; Party2 ATC,1422921,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Separated Traffic,Human Factors; Airspace Structure; Aircraft; Procedure,Procedure,"I accepted the handoff on Aircraft X descending to 27000 feet. I noticed the aircraft in a right turn and was called by ZNY N56 stating that they are going to spin Aircraft X because of Aircraft Y. I said roger but did not see the aircraft they were referring to. This was because this aircraft; Aircraft Y was still at 36000 feet landing BOS. This aircraft should have been at 27000 feet. Nothing was coordinated with this descent from N56. What made this scenario dangerous was the N56 controller spun Aircraft X into the rest of their line of BOS arrivals that were at 27000 feet.The conflict alert was going off constantly during this time with no coordination from N56 controller as to what the plan was for this aircraft that I had the handoff on. I was pointing out Aircraft Y to other sectors down the line and N56 ran another aicraft into my airspace at 27000 feet without a handoff. I do not know if point-outs were made to other appropriate sectors from N56 but given their lack of coordination; I would assume other sectors were not coordinated with as well.  This problem seemed like it was a typical issue. Either Aircraft Y went NORDO; controller didn't realize Aircraft Y was landing BOS or Aircraft Y did not start his/her descent. The part that makes this dangerous is the lack of coordination from N56. I have been at ZBW for just under 10 years and it seems like myself and the rest of the controllers here at ZBW have just accepted that ZNY does not like to use landlines and are very hard to get on the landline. This culture is the same with N90. I don't know how to fix this long-standing issue. But this lack of coordination and communication to other controllers as to what N56's plan was for this BOS scenario is what made this scenario reportable and dangerous. I could not help to solve the problem because I could not find out what the controllers plan was. From my end of the scenario; it appears that if the N56 controller spun Aircraft Y who was too high anyway; this would have been a lot less dangerous.",,,,"ZBW Center Controller reported communication issues with ZNY leading to an aircraft entering his sector without coordination.",
1428070,201703,1201-1800,ZBW.ARTCC,NH,,,,21000,,Turbulence,,Daylight,,,Center ZBW,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,,Cruise,Vectors,Class A ZBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZBW.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Situational Awareness; Workload; Communication Breakdown; Confusion; Distraction; Human-Machine Interface,Party1 ATC; Party2 ATC,1428070,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Separated Traffic,Human Factors; Procedure; Staffing; Weather,Weather,"I was working all sectors in my area with midnight operations. I received a few reports of moderate chop from some heavy aircraft near the SYR VOR; so I decided to call Cleveland ARTCC as well as ZNY to let them know that I was receiving very poor riders in that area; and that I'd prefer if they started sending me aircraft below FL310 to avoid the bad rides. I called ZNY and in the process of trying to inform the controller of the rides; he abruptly interrupted me and informed me that he was 'getting moderate everywhere'; and had a holding stack of 7 or 8 aircraft. It sounded like the controller was quite busy; so I tried to quickly convey that I wanted the aircraft from him delivered to me below FL310. Around this time; I took a handoff on a EWR arrival on the western half of my sector. I issued the aircraft to cross HNK VOR at FL180; per the normal crossing restriction. A few minutes later; an aircraft checked onto my frequency at FL210. I had no idea who the aircraft was; and at the same time; I received a phone call from ZNY trying to reach me on the shout line.During all of this; I was quite busy; due to trying to convey the ride conditions to several aircraft; and if I recall correctly I was also sequencing several aircraft for CYUL. I picked up the land line as soon as I was able; and ZNY informed me that he shipped me the aircraft accidentally; to which I responded I'll take radar and sort it out. The problem that I identified was that the aircraft was in direct confliction with my EWR arrival; especially since the ZNY controller had erroneously left the aircraft on a heading. I immediately amended the altitude of my EWR arrival; and resolved the situation. I feel if I had been busier; or not as vigilant in my identification of the confliction that it could have led to an operational error.The ZNY controller seemed quite busy so I might suggest if he was working several combined sectors that he either be provided a d-side; or another controller to help him out by taking some of his sectors. I was also quite busy at the time and I feel perhaps it would be better to have 3 controllers on the midnight shift instead of just 2. With only 2 controllers on ZBW's mid shifts; we are essentially forced to divide the shift into two 3+ hour shifts; which is extremely fatiguing especially when issues are compounded by bad rides; deviations; or simply unusual situations (that happen with regularity as any CPC knows).",,,,"ZBW Center Controller reported another Controller mistakenly transferred him an aircraft that was in conflict with his traffic.",
1434230,201703,1201-1800,FIT.Airport,MA,,,,1000,VMC,10,,Daylight,7500,,CTAF FIT,Personal,PA-20 Pacer/PA-22 Tri-Pacer,,1,Part 91,None,Personal,,Climb,None,Class E FIT,,,,,,,,,,,,,,,,Personal,Cessna 152,,1,Part 91,,Personal,,Initial Approach,None,Class E FIT,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 16; Flight Crew Total 1453; Flight Crew Type 328,,Situational Awareness,,1434230,,,,,,,,,,,Conflict NMAC; Deviation - Procedural Published Material / Policy,Horizontal 200; Vertical 50,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"In climbout phase following a touch and go on the active runway 32 about to start turn for left crosswind; a Cessna 152 crossed my flight path entering crosswind leg from opposite pattern side without a radio call stating intentions. [He was] in level attitude 200 feet away and 50 vertical feet above. [I] observed the aircraft continue its track without evasive action or acknowledging the near miss.",,,,"PA-22 pilot reported an NMAC with a C152 in the pattern at FIT airport.",
1437387,201704,1801-2400,ZBW.ARTCC,NH,,,,38000,,,,Dusk,,,Center ZBW,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,Part 129,IFR,Passenger,,Cruise,,Class A ZBW,,,,,,,,,,,,,,,Center ZBW,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,Part 129,IFR,Passenger,,Climb,,Class A ZBW,,,,,,,,,,,Facility ZBW.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 22.6,,Situational Awareness; Human-Machine Interface; Confusion,,1437387,Facility ZBW.ARTCC,,Government,Handoff / Assist; Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 6,,Situational Awareness,,1437686,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Human Factors; Procedure,Procedure,"Aircraft Y requested climb from FL370 to FL390. I looked at the data block for Aircraft Z; about 60 miles behind Aircraft Y; thinking this was the aircraft requesting higher. I assessed the traffic situation for Aircraft Z; and issued a climb to Aircraft Y. I was alerted to the loss of separation via conflict alert and traffic Aircraft X who was at FL380 opposite direction.",,"During a high volume session with bad rides and weather deviations Aircraft Y asked for a climb to FL390. He then climbed him from FL370 to FL390 but entered the data on Aircraft Z's data block who was about 40 miles behind him. During the transmission I was scanning potential conflicts and checking routes and did not catch that the data was entered on the wrong aircraft. Conflict Alert went off after the aircraft started to climb out of FL375 and the radar controller issued him a 20 degree left turn to give more room in between aircraft although they would have not collided. Busy workload and maybe a little bit of complacency or hearing what you want to hear may have played a role in this incident on both the radar and D side positions.I don't have any recommendations as to prevent it. I think it was an honest mistake during busy workload and just the one time is enough to make a person more vigilant and aware of possible mistakes.",,"ZBW Center controllers reported that the Controller working radar assigned a climb to the wrong aircraft which lead to a loss of separation.",
1441667,201704,1801-2400,BOS.Airport,MA,,,,3000,VMC,,,Night,,,Tower BOS,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Initial Approach,Visual Approach,Class B BOS,,,,,,,,,,,System Monitor: Indicating and Warning,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Workload,,1441667,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy,,,Automation Aircraft RA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action; Flight Crew Executed Go Around / Missed Approach,Human Factors; Aircraft,Human Factors,"We had 3 runway changes as we were getting closer to BOS. FO was flying. I told the FO at all 3 times that he would continue flying the plane (since the first change we were descending via the arrival and I wanted him to pay attention to the VNAV and all speed restrictions). As we passed PROVI; we were given a left turn. The controller gave us a runway change to 4R from 22L. I again told the FO; I would do the all the FMS changes and would brief the ILS. When we switched to the final controller; he gave us 4L visual approach. I again did the FMS changes. The FO told me that he had never done the visual approach to 4L. I explained to him that there was an FMS RNAV but we did not have that approach on the EFB; however; we could use it as a backup to the visual approach. I also told him [not] to worry that I would walk him through it.During all these changes; we were told to look for traffic to follow. I was dividing my attention between being heads down reprogramming the FMS and looking outside at night for traffic to follow (which was the plane that would be parallel to us on a visual to RWY 4R). ATC told us to slow to 190 knots and a descent to 4;000 feet. Once we had the traffic in-sight; the controller gave us the visual approach; a turn towards the airport; told us to maintain 170 knots to 5 mile final; cross the 10 DME at or above 3;000 feet; and to contact tower at 128.8. I was trying to make all the appropriate FMS changes for intercept the course; keep the airplane on 4R in-sight; make all the configuration changes that the FO was calling for (gear; flaps; speed and altitude on the guidance panel and to draw a 10 mile ring on the moving map to identify the 10 DME/3000 feet restriction).The frequency was extremely busy since we had been with BOS Center since they were giving everyone basically S-turns because of the runway changes and with approach as they were getting saturated funneling everyone with the runway changes. As we were on the final phase of intercepting the 10 mile ring; the final controller told us that he needed us going directly to the runway. I told him that we were and that we were turning through a heading of 070 already. As we started the final descent; I told the FO to disconnect the autopilot and to hand flying it and to use the VNAV glide path as reference and that I would give him a 3 degree descent angle to cross-reference his descent.When the autopilot disconnected; we received a very loud 'autopilot' continuous disconnect aural warning. As I have been a CA/FO on this model of aircraft for many years; I knew that the continuous aural warning is related to the trim system when the autopilot is flying. We both again pressed our respective autopilot discount buttons to try to silence the warning; but it did not stop. At the same time; we received a TCAS RA with the traffic off to our right. I believe the TCAS detected that we were both descending; with a closure rate but it cannot distinguished that we were on a very closed parallel approach. I told the FO 'My aircraft' and simply called for a go around. I manually overrode the autopilot. I called for flaps 2 and gear up as I initiated a climb. The tower noticed that we were going around and called us. I simply clicked the mike and said; 'standby'. I prioritized flying with newer FO; letting catch up with what was going on as we still trying to speak to each other on a busy frequency; with a continuous loud aural warning and reconfiguring the aircraft. A few seconds later; the tower told us to turn to the left; that if able to maintain 3;000 feet and to let him know if we needed any assistance. We complied with his instructions and told him that we had an autopilot issue and we needed to run a checklist.I called for the FO to run the QRH procedure for the autopilot aural warning. The FO successfully ran the QRH and the aural message stopped. I transfer control of the aircraft back to the FO and we were vectored back around for a normal landing. I should have turned down the visual approach for a number of reasons. A very late third change of runway; flying with not a very experienced FO; at night; how close we were to the airport and the complexity of reprogramming the FMS and doing a so-close parallel approach. I have done this approach a number of times in the daytime; but cannot recall the last time I had to do it at night. ATC was trying to keep us parallel to the traffic as we both descended. I think the TCAS sense the closure rate and that was the reason for the RA.",,,,"Air carrier Captain reported he received a TCAS RA while on a night visual parallel approach to Runway 4L at BOS; performed a go-around; and eventually was vectored around for a normal landing.",
